Longitud,Latitud,Valor
-71.93060,-43.21580,1751.80000
-72.36580,-43.41280,1844.10000
-72.35360,-43.46830,2205.30000
-71.78390,-43.61750,1028.90000
-72.95470,-43.77170,1836.00000
-72.40560,-43.97080,1353.20000
-72.31610,-44.04830,1555.70000
-71.84610,-44.23940,1095.30000
-72.55970,-44.32280,1933.40000
-71.30640,-44.49750,216.90000
-71.67360,-44.64720,540.40000
-72.26610,-44.66530,1346.70000
-72.68140,-44.72780,2049.00000
-73.51640,-45.15530,1294.10000
-72.14780,-45.17330,962.40000
-71.52920,-45.26690,301.40000
-71.70920,-45.27060,358.80000
-71.98220,-45.37190,482.60000
-72.70000,-45.40060,1555.90000
-72.48780,-45.40360,1129.70000
-72.62310,-45.40580,1110.30000
-72.81780,-45.46440,1652.70000
-71.60440,-45.48030,219.30000
-72.05890,-45.55110,533.00000
-72.06810,-45.55170,471.70000
-72.02860,-45.57390,564.60000
-71.72110,-45.88530,485.90000
-72.15390,-46.12060,386.90000
-71.99080,-46.26920,290.90000
-71.93360,-46.28920,434.10000
-72.66860,-46.46190,756.10000
-71.70890,-46.54360,208.10000
-72.70080,-46.84280,523.30000
-72.48440,-47.11640,147.40000
-73.08690,-47.13780,548.70000
-72.72580,-47.14140,466.40000
-72.56440,-47.25170,494.70000
-73.11470,-47.33920,573.20000
-73.53580,-47.79970,1220.70000
-73.08890,-48.15920,994.40000
-72.55890,-48.46920,445.90000
-72.59530,-48.51690,685.70000
-72.73940,-48.87750,428.40000
-73.11720,-48.92720,132.60000
-73.11250,-50.82280,343.60000
-72.90470,-50.84140,255.50000
-72.33140,-50.89860,131.00000
-72.79250,-50.96030,295.60000
-72.71060,-51.01080,188.10000
-72.51690,-51.05080,116.50000
-72.99330,-51.07830,401.60000
-73.13000,-51.11140,331.30000
-72.96690,-51.18420,343.00000
-72.32720,-51.26000,172.40000
-73.10920,-51.33280,790.10000
-72.32970,-51.69750,140.10000
-72.47810,-51.73360,225.10000
-72.15920,-51.82330,222.20000
-71.94140,-52.03000,182.70000
-70.73330,-52.03420,116.80000
-71.94190,-52.03890,221.00000
-71.42470,-52.05110,165.00000
-72.43610,-52.09110,359.40000
-69.60780,-52.16440,105.30000
-71.68060,-52.20920,441.60000
-72.47830,-52.20940,565.80000
-71.40220,-52.44140,174.80000
-71.96030,-52.54860,269.00000
-71.97470,-52.54920,242.20000
-70.07060,-52.56640,128.00000
-71.50190,-52.60420,185.20000
-71.96310,-52.65140,315.00000
-69.27720,-52.76810,123.30000
-69.29280,-52.77640,117.40000
-71.76420,-52.84250,540.70000
-69.93190,-52.86970,179.10000
-71.57060,-52.88190,221.90000
-71.00250,-53.09190,286.30000
